ลำดับ,เดือน,จำนวนเรื่องร้องเรียนร้องทุกข์
1,ตุลาคม 2562 ,2639
2,พฤศจิกายน 2562 ,2239
3,ธันวาคม 2562 ,1896
4,ม.ค.-63,2471
5,กุมภาพันธ์ 2563 ,2549
6,มีนาคม 2563 ,2872
7,เมษายน 2563 ,2749
8,พฤษภาคม 2563 ,7677
9,มิถุนายน 2563 ,2781
10,กรกฎาคม 2563 ,2433
11,สิงหาคม 2563 ,2239
12,กันยายน 2563 ,2253
13,ตุลาคม 2564 ,2468
14,พฤศจิกายน 2564 ,2134
15,ธันวาคม 2564 ,2383
16,ม.ค.-64,2755
17,กุมภาพันธ์ 2564 ,2524
18,มีนาคม 2564 ,3256
19,เมษายน 2564 ,2296
20,พฤษภาคม 2564 ,2302
21,มิถุนายน 2564,2654
22,กรกฎาคม 2564,2235
23,สิงหาคม 2564 ,2375
24,กันยายน 2564 ,2130
25,ตุลาคม 2565 ,2142
26,พฤศจิกายน 2565 ,2068
27,ธ.ค.-65,1903
28,ม.ค.-65,1911
29,กุมภาพันธ์ 2565 ,1762
30,มีนาคม 2565 ,1847
31,เมษายน 2565,1507
32,พฤษภาคม 2565,1849
33,มิถุนายน 2565 ,1949
34,กรกฎาคม 2565,1518
35,สิงหาคม 2565 ,1780
36,กันยายน 2565 ,1784
37,ตุลาคม 2565 ,4592
38,พฤศจิกายน 2565,4766 
39,ธ.ค.-65,4306 
40,ม.ค.-66,4596 
41,ก.พ.-66,4427 
42,มี.ค.-66,4751 
43,เมษายน 2566,3421 
44,พฤษภาคม 2566,4024 
45,มิ.ย.-66,4145 
46,กรกฎาคม 2566,3865 
47,ส.ค.-66,4314 
48,ก.ย.-66,3776 
49,รวมทั้งหมด,90922
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
