ลำดับ,ประเภทบริการ,ปีงบประมาณ พ.ศ. 2563,ปีงบประมาณ พ.ศ. 2564,ปีงบประมาณ พ.ศ. 2565,ปีงบประมาณ พ.ศ. 2566,รวม
1,การประกอบอาชีพ,35,18,1,36,90
2,ขอความช่วยเหลือ,"22,025",16933,13531,"18,289","70,778"
3,ขอติดตั้งน้ำประปา,3,2,1,1,7
4,ขอติดตั้งไฟฟ้า,2,1541,3,2,1548
5,ขออนุญาตสิ่งปลูกสร้างอาคาร,3,650,1,3,657
6,ขอเปิดสถานประกอบการ,1,1,1264,1,1267
7,ข้อร้องเรียน/ข้อพิพาทระหว่างบุคคล,"1,557",1,544,"2,250","4,352"
8,คดีความ/กฏหมาย,750,1,25,"2,370",3146
9,จดทะเบียนผู้ประกอบการ,1,2,1,2,6
10,ชำระค่าน้ำประปา,21,2,0,1,24
11,ดำเนินการตามนโยบายสำคัญของรัฐบาล อื่นๆ,"2,893",105,0,206,"3,204"
12,ต่อทะเบียนภาษีรถยนต์-จักรยานยนต์,9,1,25,1,36
13,ทะเบียนราษฎร/บัตร,92,1,1,1,95
14,ทำบัตรประจำตัวประชาชน,1,45,2,7,55
15,นโยบาย ผลงานสำคัญของรัฐบาล,14,1,35,3,53
16,บริการข้อมูลข่าวสารของทางราชการอื่นๆ,209,6,174,435,824
17,บริการรับ-ส่งต่อ อื่นๆ,154,42,5,265,466
18,บริการแบบเบ็ดเสร็จอื่นๆ,3,123,1603,19,1748
19,บริการให้คำปรึกษา อื่นๆ,"3,842",3,4,"4,333","8,182"
20,ประกันสังคม,1,1598,1,1,1601
21,ระเบียบกฏหมาย/หลักเกณฑ์การบริการภาครัฐ,10,1,1,20,32
22,ร้องเรียนผ่านทีวี,4,2,,4,10
23,ร้องเรียนผ่านหนังสือพิมพ์,2,6,1603,1,1612
24,ร้องเรียนผ่านเว็บไซต์,13,6,4,13,36
25,ร้องเรียนผ่านโซเชียล,8,19,1,17,45
26,ร้องเรียนเจ้าหน้าที่ของรัฐ,"3,176",3049,2333,"3,545","12,103"
27,ร้องเรียนเจ้าหน้าที่ของรัฐทุจริตและประพฤติมิชอบ,1,233,8,59,301
28,ร้องเรียนโครงการของรัฐ,284,2,2333,317,2936
29,สงเคราะห์ช่วยเหลือผู้ด้อยโอกาส,2,215,43,2,262
30,หนี้นอกระบบ,326,24,196,128,674
31,หน่วยเคลื่อนที่เร็ว,11,78,132,38,259
32,ออกโฉนด รังวัดที่ดิน,9,24,9,8,50
33,เปลี่ยนชื่อ-สกุล,1,78,10,1,90
34,เรื่องทูลเกล้าถวายฎีกา,35,61,39,57,192
35,เศรษฐกิจพอเพียง/ศูนย์การเรียนรู้,1,1,3,1,6
36,แจ้งเบาะแสการกระทำความผิด,"4,715",4948,2960,"4,955","17,578"
37,แสดงความคิดเห็น,145,219,172,199,735
38,โทรศัพท์ก่อกวน,13,6,1,11,31
,รวม,40372,30048,27069,"37,602",135091
